stems,words,sufix,freq
lxũ,lxũ³,³,0.10581340504513015
txo,txo³,³,0.10581340504513015
nxeh,nxeh³,³,0.10581340504513015
wẽh,wẽh³,³,0.10581340504513015
bar,bar³,³,0.10581340504513015
nhon,nhon³,³,0.10581340504513015
to,to³,³,0.10581340504513015
or,or³,³,0.10581340504513015
wain,wain³,³,0.10581340504513015
ja,ja³,³,0.10581340504513015
ux3sxã,ux3sxã³,³,0.10581340504513015
yũn,yũn³,³,0.10581340504513015
mi,mi³,³,0.10581340504513015
nax3ki,nax3ki³,³,0.10581340504513015
lai,lai³,³,0.10581340504513015
nx2te,nx2te³,³,0.10581340504513015
nat3ja,nat3ja³,³,0.10581340504513015
lot3nxe,lot3nxe³,³,0.10581340504513015
bi,bi³,³,0.10581340504513015
lxa,lxa³,³,0.10581340504513015
fa,fa³,³,0.10581340504513015
sar,sar³,³,0.10581340504513015
kon,kon³,³,0.10581340504513015
lo,lo³,³,0.10581340504513015
khaix1ka,khaix1ka³,³,0.10581340504513015
hon,hon³,³,0.10581340504513015
lxẽn,lxẽn³,³,0.10581340504513015
kxa,kxa³,³,0.10581340504513015
por,por³,³,0.10581340504513015
sxa,sxa³,³,0.10581340504513015
khãuh,khãuh³,³,0.10581340504513015
kat1ta,kat1ta³,³,0.10581340504513015
jxa,jxa³,³,0.10581340504513015
nũ,nũ³,³,0.10581340504513015
ti,ti³,³,0.10581340504513015
wet1ti,wet1ti³,³,0.10581340504513015
kai,kai³,³,0.10581340504513015
hit1ai,hit1ai³,³,0.10581340504513015
kaix1ta,kaix1ta³,³,0.10581340504513015
no,no³,³,0.10581340504513015
khaix1nãu,khaix1nãu³,³,0.10581340504513015
yũh,yũh³,³,0.10581340504513015
ho,ho³,³,0.10581340504513015
nyhe,nyhe³,³,0.10581340504513015
kris,kris³,³,0.10581340504513015
en,en³,³,0.10581340504513015
ro,ro³,³,0.10581340504513015
wai,wai³,³,0.10581340504513015
ka,ka³,³,0.10581340504513015
yhait1ho,yhait1ho³,³,0.10581340504513015
